127.0.0.1 - - [26/Jun/2023:22:42:46 -0300] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [26/Jun/2023:22:42:55 -0300] "GET /projjavapos/ HTTP/1.1" 200 13216
0:0:0:0:0:0:0:1 - - [26/Jun/2023:22:42:55 -0300] "GET /projjavapos/resources/img/edit.png HTTP/1.1" 200 4194
0:0:0:0:0:0:0:1 - - [26/Jun/2023:22:42:55 -0300] "GET /projjavapos/resources/img/delete.png HTTP/1.1" 200 10026
0:0:0:0:0:0:0:1 - - [26/Jun/2023:22:43:04 -0300] "POST /projjavapos/index.jsf HTTP/1.1" 200 5032
0:0:0:0:0:0:0:1 - - [26/Jun/2023:22:43:07 -0300] "POST /projjavapos/index.jsf HTTP/1.1" 200 5040
0:0:0:0:0:0:0:1 - - [26/Jun/2023:22:43:09 -0300] "POST /projjavapos/index.jsf HTTP/1.1" 200 5033
0:0:0:0:0:0:0:1 - - [26/Jun/2023:22:48:21 -0300] "GET /projjavapos/ HTTP/1.1" 500 2569
0:0:0:0:0:0:0:1 - - [26/Jun/2023:22:48:39 -0300] "GET /projjavapos/ HTTP/1.1" 200 15046
0:0:0:0:0:0:0:1 - - [26/Jun/2023:22:48:39 -0300] "GET /projjavapos/resources/img/edit.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2023:22:48:39 -0300] "GET /projjavapos/resources/img/delete.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2023:22:48:39 -0300] "GET /projjavapos/resources/img/fone.png HTTP/1.1" 200 1655
0:0:0:0:0:0:0:1 - - [26/Jun/2023:22:48:41 -0300] "POST /projjavapos/index.jsf HTTP/1.1" 200 6317
0:0:0:0:0:0:0:1 - - [26/Jun/2023:22:48:46 -0300] "POST /projjavapos/index.jsf HTTP/1.1" 200 5569
0:0:0:0:0:0:0:1 - - [26/Jun/2023:22:50:58 -0300] "GET /projjavapos/ HTTP/1.1" 200 13559
0:0:0:0:0:0:0:1 - - [26/Jun/2023:22:50:58 -0300] "GET /projjavapos/resources/img/edit.png HTTP/1.1" 200 1164
0:0:0:0:0:0:0:1 - - [26/Jun/2023:22:50:58 -0300] "GET /projjavapos/resources/img/delete.png HTTP/1.1" 200 2919
0:0:0:0:0:0:0:1 - - [26/Jun/2023:22:50:58 -0300] "GET /projjavapos/resources/img/fone.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2023:22:52:20 -0300] "GET /projjavapos/ HTTP/1.1" 200 13568
0:0:0:0:0:0:0:1 - - [26/Jun/2023:22:52:21 -0300] "GET /projjavapos/resources/img/edit.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2023:22:52:21 -0300] "GET /projjavapos/resources/img/delete.png HTTP/1.1" 200 15306
0:0:0:0:0:0:0:1 - - [26/Jun/2023:22:52:21 -0300] "GET /projjavapos/resources/img/fone.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jun/2023:22:52:25 -0300] "POST /projjavapos/index.jsf HTTP/1.1" 200 5040
0:0:0:0:0:0:0:1 - - [26/Jun/2023:22:52:27 -0300] "POST /projjavapos/index.jsf HTTP/1.1" 200 5040
0:0:0:0:0:0:0:1 - - [26/Jun/2023:22:52:27 -0300] "POST /projjavapos/index.jsf HTTP/1.1" 200 222
0:0:0:0:0:0:0:1 - - [26/Jun/2023:22:52:28 -0300] "POST /projjavapos/index.jsf HTTP/1.1" 200 222
0:0:0:0:0:0:0:1 - - [26/Jun/2023:22:52:28 -0300] "POST /projjavapos/index.jsf HTTP/1.1" 200 4954
0:0:0:0:0:0:0:1 - - [26/Jun/2023:22:52:28 -0300] "POST /projjavapos/index.jsf HTTP/1.1" 200 4954
0:0:0:0:0:0:0:1 - - [26/Jun/2023:22:52:28 -0300] "POST /projjavapos/index.jsf HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [26/Jun/2023:22:52:32 -0300] "POST /projjavapos/index.jsf HTTP/1.1" 200 5024
0:0:0:0:0:0:0:1 - - [26/Jun/2023:22:52:32 -0300] "POST /projjavapos/index.jsf HTTP/1.1" 200 11074
